日期,時間,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
20240515,2024-05-15 22:46:57.395204,0050,元大台灣50,15243403,18162,2541851885,165.60,167.85,165.50,166.65,+,2.25,166.65,135,166.70,10,0.00
20240515,2024-05-15 22:46:57.395204,0051,元大中型100,49741,261,3967288,79.50,80.00,79.40,79.40,+,0.20,79.35,1,79.40,1,0.00
20240515,2024-05-15 22:46:57.395204,0052,富邦科技,773643,1049,125008637,161.20,162.40,161.00,161.65,+,2.10,161.15,6,161.65,15,0.00
20240515,2024-05-15 22:46:57.395204,0053,元大電子,51899,125,4640338,88.80,90.20,88.80,89.75,+,1.55,89.20,1,89.45,1,0.00
20240515,2024-05-15 22:46:57.395204,0055,元大MSCI金融,531271,529,14159101,26.29,26.87,26.29,26.62,+,0.33,26.60,4,26.62,1,0.00
20240515,2024-05-15 22:46:57.395204,0056,元大高股息,23324400,17223,920328382,39.27,39.59,39.27,39.30,+,0.04,39.29,34,39.30,84,0.00
20240515,2024-05-15 22:46:57.395204,0057,富邦摩台,14057,16,1732816,123.05,123.40,123.05,123.05,+,1.80,122.85,35,123.15,20,0.00
20240515,2024-05-15 22:46:57.395204,0061,元大寶滬深,173937,144,3099633,17.84,17.87,17.79,17.83,-,0.01,17.81,1,17.83,2,0.00
20240515,2024-05-15 22:46:57.395204,006203,元大MSCI台灣,6725,85,532504,79.15,79.45,79.15,79.45,+,1.45,79.00,1,79.20,8,0.00
20240515,2024-05-15 22:46:57.395204,006204,永豐臺灣加權,5656,99,597281,105.55,106.00,105.55,105.85,+,1.55,105.00,50,105.75,15,0.00
20240515,2024-05-15 22:46:57.395204,006205,富邦上証,2386447,1288,72551668,30.82,30.82,30.27,30.31,-,0.21,30.31,82,30.32,45,0.00
20240515,2024-05-15 22:46:57.395204,006206,元大上證50,118441,127,3445110,29.23,29.24,29.02,29.19,-,0.05,29.14,1,29.19,55,0.00
20240515,2024-05-15 22:46:57.395204,006207,復華滬深,162075,103,3743372,23.20,23.20,23.07,23.10,-,0.10,23.09,1,23.10,9,0.00
20240515,2024-05-15 22:46:57.395204,006208,富邦台50,4660747,8121,454684564,96.65,98.20,96.65,97.50,+,1.35,97.50,49,97.55,131,0.00
20240515,2024-05-15 22:46:57.395204,00625K,富邦上証+R,0,0,0,,,,, ,0.00,6.80,5,6.85,5,0.00
20240515,2024-05-15 22:46:57.395204,00631L,元大台灣50正2,2490452,3409,528055528,210.00,214.35,209.90,211.40,+,4.35,211.35,1,211.40,89,0.00
20240515,2024-05-15 22:46:57.395204,00632R,元大台灣50反1,305662324,14300,1139877606,3.76,3.76,3.70,3.73,-,0.05,3.73,4048,3.74,19256,0.00
20240515,2024-05-15 22:46:57.395204,00633L,富邦上証正2,4617873,958,164651022,35.71,36.08,35.46,35.58,-,0.19,35.58,29,35.59,1,0.00
20240515,2024-05-15 22:46:57.395204,00634R,富邦上証反1,62000,13,280690,4.50,4.53,4.50,4.51,-,0.01,4.51,501,4.53,802,0.00
20240515,2024-05-15 22:46:57.395204,00635U,期元大S&P黃金,433207,165,12121740,27.96,28.01,27.96,27.98,+,0.12,27.98,3,27.99,15,0.00
20240515,2024-05-15 22:46:57.395204,00636,國泰中國A50,4531966,2978,95164395,21.09,21.15,20.93,20.94,-,0.16,20.94,209,20.96,100,0.00
20240515,2024-05-15 22:46:57.395204,00636K,國泰中國A50+U,200,2,1310,6.55,6.55,6.55,6.55,+,0.02,6.47,2,6.55,8,0.00
20240515,2024-05-15 22:46:57.395204,00637L,元大滬深300正2,50742991,5024,726069452,14.35,14.47,14.21,14.26,-,0.07,14.26,161,14.27,20,0.00
20240515,2024-05-15 22:46:57.395204,00638R,元大滬深300反1,212000,36,2006350,9.47,9.50,9.43,9.46,-,0.01,9.44,228,9.46,22,0.00
20240515,2024-05-15 22:46:57.395204,00639,富邦深100,927470,425,10113340,11.03,11.03,10.87,10.92,-,0.02,10.90,21,10.92,288,0.00
20240515,2024-05-15 22:46:57.395204,00640L,富邦日本正2,801604,272,45987154,57.30,57.50,57.00,57.00,+,0.35,56.95,305,57.00,6,0.00
20240515,2024-05-15 22:46:57.395204,00641R,富邦日本反1,1165977,135,7531918,6.48,6.48,6.45,6.47,-,0.04,6.47,146,6.48,18,0.00
20240515,2024-05-15 22:46:57.395204,00642U,期元大S&P石油,965009,371,16978253,17.57,17.64,17.55,17.62,-,0.12,17.61,11,17.62,400,0.00
20240515,2024-05-15 22:46:57.395204,00643,群益深証中小,1199853,557,14150175,11.86,11.87,11.76,11.77,-,0.10,11.77,1,11.79,44,0.00
20240515,2024-05-15 22:46:57.395204,00643K,群益深証中小+R,0,0,0,,,,, ,0.00,2.63,2,2.69,1,0.00
20240515,2024-05-15 22:46:57.395204,00645,富邦日本,786678,428,29784122,37.90,37.91,37.73,37.73,+,0.15,37.72,14,37.73,5,0.00
20240515,2024-05-15 22:46:57.395204,00646,元大S&P500,5195624,1928,273573193,52.85,53.00,52.55,52.60,-,0.15,52.60,12,52.65,197,0.00
20240515,2024-05-15 22:46:57.395204,00647L,元大S&P500正2,97511,61,8108888,83.30,83.30,83.05,83.05,+,0.60,83.05,139,83.10,50,0.00
20240515,2024-05-15 22:46:57.395204,00648R,元大S&P500反1,2334000,106,13394810,5.75,5.75,5.73,5.73,-,0.06,5.73,3175,5.74,1462,0.00
20240515,2024-05-15 22:46:57.395204,00650L,復華香港正2,10841828,1419,124891637,11.55,11.58,11.49,11.51,-,0.07,11.50,722,11.51,102,0.00
20240515,2024-05-15 22:46:57.395204,00651R,復華香港反1,88000,30,737880,8.39,8.40,8.35,8.39,+,0.03,8.36,2,8.39,150,0.00
20240515,2024-05-15 22:46:57.395204,00652,富邦印度,642280,429,23561063,36.77,36.77,36.48,36.52,-,0.08,36.51,8,36.52,2,0.00
20240515,2024-05-15 22:46:57.395204,00653L,富邦印度正2,299231,314,16895364,56.75,56.80,55.85,56.00,+,0.15,56.00,1,56.10,30,0.00
20240515,2024-05-15 22:46:57.395204,00654R,富邦印度反1,295000,25,2042920,6.93,6.96,6.91,6.96,-,0.01,6.93,103,6.95,123,0.00
20240515,2024-05-15 22:46:57.395204,00655L,國泰中國A50正2,3080001,454,75229289,24.45,24.65,24.25,24.36,-,0.09,24.36,195,24.39,5,0.00
20240515,2024-05-15 22:46:57.395204,00656R,國泰中國A50反1,890050,21,7574535,8.50,8.53,8.49,8.51,-,0.01,8.50,5,8.51,248,0.00
20240515,2024-05-15 22:46:57.395204,00657,國泰日經225,135660,121,6129974,45.18,45.30,45.02,45.03,+,0.17,44.98,10,45.03,150,0.00
20240515,2024-05-15 22:46:57.395204,00657K,國泰日經225+U,200,2,2794,13.97,13.97,13.97,13.97,+,0.12,13.93,10,13.97,10,0.00
20240515,2024-05-15 22:46:57.395204,00660,元大歐洲50,8961,102,328890,36.67,36.85,36.67,36.71,-,0.01,36.68,143,36.83,1,0.00
20240515,2024-05-15 22:46:57.395204,00661,元大日經225,199472,191,9872330,49.49,49.60,49.33,49.33,+,0.19,49.33,1,49.34,1,0.00
20240515,2024-05-15 22:46:57.395204,00662,富邦NASDAQ,2425144,929,184403234,76.00,76.30,75.95,76.00,+,0.40,75.90,46,76.00,645,0.00
20240515,2024-05-15 22:46:57.395204,00663L,國泰臺灣加權正2,13050,11,2548500,194.85,196.95,194.50,194.50,+,4.10,194.20,250,194.50,207,0.00
20240515,2024-05-15 22:46:57.395204,00664R,國泰臺灣加權反1,33804890,1270,142558275,4.25,4.25,4.19,4.22,-,0.05,4.22,2301,4.23,1711,0.00
20240515,2024-05-15 22:46:57.395204,00665L,富邦恒生國企正2,24694914,2597,186677847,7.60,7.62,7.52,7.54,-,0.08,7.54,1750,7.55,30,0.00
20240515,2024-05-15 22:46:57.395204,00666R,富邦恒生國企反1,21000,7,295180,14.05,14.08,14.05,14.06,+,0.01,14.03,7,14.07,132,0.00
20240515,2024-05-15 22:46:57.395204,00668,國泰美國道瓊,111888,108,5188737,46.42,46.42,46.29,46.29,-,0.09,46.29,1,46.31,105,0.00
20240515,2024-05-15 22:46:57.395204,00668K,國泰美國道瓊+U,200,2,2870,14.35,14.35,14.35,14.35,+,0.05,14.31,10,14.36,10,0.00
20240515,2024-05-15 22:46:57.395204,00669R,國泰美國道瓊反1,3326400,195,23448813,7.06,7.06,7.04,7.05,-,0.04,7.04,4327,7.05,1127,0.00
20240515,2024-05-15 22:46:57.395204,00670L,富邦NASDAQ正2,676426,575,75487094,111.60,111.80,111.40,111.45,+,1.40,111.45,173,111.50,12,0.00
20240515,2024-05-15 22:46:57.395204,00671R,富邦NASDAQ反1,5984835,342,24181337,4.04,4.05,4.03,4.05,-,0.03,4.04,1709,4.05,6838,0.00
20240515,2024-05-15 22:46:57.395204,00673R,期元大S&P原油反1,6457617,390,48274862,7.49,7.50,7.45,7.46,+,0.03,7.46,1162,7.47,1555,0.00
20240515,2024-05-15 22:46:57.395204,00674R,期元大S&P黃金反1,273247,87,2880428,10.56,10.56,10.53,10.54,-,0.06,10.54,136,10.56,365,0.00
20240515,2024-05-15 22:46:57.395204,00675L,富邦臺灣加權正2,2185912,1737,185721167,84.40,86.00,84.30,84.75,+,1.60,84.75,11,84.80,1,0.00
